"customer_id","first_name","last_name","total_rentals","rental_activity"
148,"Eleanor","Hunt","46","Loyal"
526,"Karl","Seal","45","Loyal"
144,"Clara","Shaw","42","Loyal"
236,"Marcia","Dean","42","Loyal"
75,"Tammy","Sanders","41","Loyal"
469,"Wesley","Bull","40","Loyal"
197,"Sue","Peters","40","Loyal"
137,"Rhonda","Kennedy","39","Supportive"
178,"Marion","Snyder","39","Supportive"
468,"Tim","Cary","39","Supportive"
459,"Tommy","Collazo","38","Supportive"
5,"Elizabeth","Brown","38","Supportive"
295,"Daisy","Bates","38","Supportive"
410,"Curtis","Irby","38","Supportive"
366,"Brandon","Huey","37","Supportive"
257,"Marsha","Douglas","37","Supportive"
198,"Elsie","Kelley","37","Supportive"
176,"June","Carroll","37","Supportive"
29,"Angela","Hernandez","36","Supportive"
267,"Margie","Wade","36","Supportive"
354,"Justin","Ngo","36","Supportive"
439,"Alexander","Fennell","36","Supportive"
380,"Russell","Brinson","36","Supportive"
348,"Roger","Quintanilla","36","Supportive"
21,"Michelle","Clark","35","Supportive"
204,"Rosemary","Schmidt","35","Supportive"
403,"Mike","Way","35","Supportive"
91,"Lois","Butler","35","Supportive"
368,"Harry","Arce","35","Supportive"
50,"Diane","Collins","35","Supportive"
381,"Bobby","Boudreau","35","Supportive"
273,"Priscilla","Lowe","35","Supportive"
274,"Naomi","Jennings","35","Supportive"
506,"Leslie","Seward","35","Supportive"
371,"Billy","Poulin","35","Supportive"
373,"Louis","Leone","35","Supportive"
196,"Alma","Austin","35","Supportive"
66,"Janice","Ward","34","Supportive"
241,"Heidi","Larson","34","Supportive"
129,"Carrie","Porter","34","Supportive"
576,"Morris","Mccarter","34","Supportive"
207,"Gertrude","Castillo","34","Supportive"
566,"Casey","Mena","34","Supportive"
168,"Regina","Berry","34","Supportive"
502,"Brett","Cornwell","34","Supportive"
473,"Jorge","Olivares","34","Supportive"
138,"Hazel","Warren","34","Supportive"
30,"Melissa","King","34","Supportive"
239,"Minnie","Romero","34","Supportive"
26,"Jessica","Hall","34","Supportive"
147,"Joanne","Robertson","34","Supportive"
360,"Ralph","Madrigal","34","Supportive"
119,"Sherry","Marshall","34","Supportive"
46,"Catherine","Campbell","34","Supportive"
211,"Stacey","Montgomery","34","Supportive"
181,"Ana","Bradley","34","Supportive"
372,"Steve","Mackenzie","34","Supportive"
38,"Martha","Gonzalez","34","Supportive"
462,"Warren","Sherrod","33","Supportive"
451,"Jim","Rea","33","Supportive"
390,"Shawn","Heaton","33","Supportive"
314,"George","Linton","33","Supportive"
522,"Arnold","Havens","33","Supportive"
102,"Crystal","Ford","33","Supportive"
533,"Jessie","Milam","33","Supportive"
51,"Alice","Stewart","33","Supportive"
7,"Maria","Miller","33","Supportive"
230,"Joy","George","33","Supportive"
64,"Judith","Cox","33","Supportive"
438,"Barry","Lovelace","33","Supportive"
297,"Sherri","Rhodes","33","Supportive"
454,"Alex","Gresham","33","Supportive"
86,"Jacqueline","Long","33","Supportive"
84,"Sara","Perry","33","Supportive"
114,"Grace","Ellis","33","Supportive"
237,"Tanya","Gilbert","33","Supportive"
172,"Bernice","Willis","33","Supportive"
362,"Nicholas","Barfield","32","Supportive"
209,"Tonya","Chapman","32","Supportive"
245,"Courtney","Day","32","Supportive"
406,"Nathan","Runyon","32","Supportive"
158,"Veronica","Stone","32","Supportive"
125,"Ethel","Webb","32","Supportive"
28,"Cynthia","Young","32","Supportive"
120,"Sylvia","Ortiz","32","Supportive"
535,"Javier","Elrod","32","Supportive"
306,"Charles","Kowalski","32","Supportive"
242,"Glenda","Frazier","32","Supportive"
452,"Tom","Milner","32","Supportive"
569,"Dave","Gardiner","32","Supportive"
35,"Virginia","Green","32","Supportive"
550,"Guy","Brownlee","32","Supportive"
520,"Mitchell","Westmoreland","32","Supportive"
346,"Arthur","Simpkins","32","Supportive"
1,"Mary","Smith","32","Supportive"
128,"Marjorie","Tucker","32","Supportive"
503,"Angel","Barclay","32","Supportive"
254,"Maxine","Silva","32","Supportive"
89,"Julia","Flores","32","Supportive"
244,"Viola","Hanson","32","Supportive"
122,"Thelma","Murray","32","Supportive"
15,"Helen","Harris","32","Supportive"
470,"Gordon","Allard","32","Supportive"
405,"Leonard","Schofield","32","Supportive"
141,"Debbie","Reyes","32","Supportive"
329,"Frank","Waggoner","32","Supportive"
442,"Leroy","Bustamante","32","Supportive"
532,"Neil","Renner","32","Supportive"
259,"Lena","Jensen","32","Supportive"
342,"Harold","Martino","32","Supportive"
277,"Olga","Jimenez","32","Supportive"
167,"Sally","Pierce","32","Supportive"
494,"Ramon","Choate","31","Supportive"
214,"Kristin","Johnston","31","Supportive"
251,"Vickie","Brewer","31","Supportive"
393,"Philip","Causey","31","Supportive"
279,"Dianne","Shelton","31","Supportive"
479,"Zachary","Hite","31","Supportive"
293,"Mae","Fletcher","31","Supportive"
210,"Ella","Oliver","31","Supportive"
323,"Matthew","Mahan","31","Supportive"
416,"Jeffery","Pinson","31","Supportive"
78,"Lori","Wood","31","Supportive"
513,"Duane","Tubbs","31","Supportive"
361,"Lawrence","Lawton","31","Supportive"
300,"John","Farnsworth","31","Supportive"
157,"Darlene","Rose","31","Supportive"
103,"Gladys","Hamilton","31","Supportive"
340,"Patrick","Newsom","31","Supportive"
446,"Theodore","Culp","31","Supportive"
309,"Christopher","Greco","31","Supportive"
186,"Holly","Fox","31","Supportive"
27,"Shirley","Allen","31","Supportive"
260,"Christy","Vargas","31","Supportive"
56,"Gloria","Cook","30","Supportive"
87,"Wanda","Patterson","30","Supportive"
339,"Walter","Perryman","30","Supportive"
107,"Florence","Woods","30","Supportive"
112,"Rosa","Reynolds","30","Supportive"
484,"Roberto","Vu","30","Supportive"
444,"Marcus","Hidalgo","30","Supportive"
472,"Greg","Robins","30","Supportive"
560,"Jordan","Archuleta","30","Supportive"
347,"Ryan","Salisbury","30","Supportive"
289,"Violet","Rodriquez","30","Supportive"
307,"Joseph","Joy","30","Supportive"
334,"Raymond","Mcwhorter","30","Supportive"
418,"Jeff","East","30","Supportive"
72,"Theresa","Watson","30","Supportive"
131,"Monica","Hicks","30","Supportive"
404,"Stanley","Scroggins","30","Supportive"
135,"Juanita","Mason","30","Supportive"
161,"Geraldine","Perkins","30","Supportive"
584,"Salvador","Teel","30","Supportive"
42,"Carolyn","Perez","30","Supportive"
436,"Troy","Quigley","30","Supportive"
299,"James","Gannon","30","Supportive"
115,"Wendy","Harrison","30","Supportive"
269,"Cassandra","Walters","30","Supportive"
108,"Tracy","Cole","30","Supportive"
408,"Manuel","Murrell","30","Supportive"
23,"Sarah","Lewis","30","Supportive"
256,"Mabel","Holland","30","Supportive"
296,"Ramona","Hale","30","Supportive"
154,"Michele","Grant","30","Supportive"
499,"Marc","Outlaw","30","Supportive"
275,"Carole","Barnett","30","Supportive"
336,"Joshua","Mark","30","Supportive"
388,"Craig","Morrell","30","Supportive"
53,"Heather","Morris","30","Supportive"
391,"Clarence","Gamez","30","Supportive"
71,"Kathy","James","30","Supportive"
356,"Gerald","Fultz","30","Supportive"
80,"Marilyn","Ross","30","Supportive"
424,"Kyle","Spurlock","30","Supportive"
319,"Ronald","Weiner","30","Supportive"
595,"Terrence","Gunderson","30","Supportive"
20,"Sharon","Robinson","30","Supportive"
363,"Roy","Whiting","29","Occasional"
575,"Isaac","Oglesby","29","Occasional"
447,"Clifford","Bowens","29","Occasional"
485,"Clyde","Tobias","29","Occasional"
302,"Michael","Silverman","29","Occasional"
179,"Dana","Hart","29","Occasional"
54,"Teresa","Rogers","29","Occasional"
268,"Nina","Soto","29","Occasional"
482,"Maurice","Crawley","29","Occasional"
39,"Debra","Nelson","29","Occasional"
563,"Ken","Prewitt","29","Occasional"
287,"Becky","Miles","29","Occasional"
113,"Cindy","Fisher","29","Occasional"
573,"Byron","Box","29","Occasional"
565,"Jaime","Nettles","29","Occasional"
349,"Joe","Gilliland","29","Occasional"
52,"Julie","Sanchez","29","Occasional"
263,"Hilda","Hopkins","29","Occasional"
265,"Jennie","Terry","29","Occasional"
467,"Alvin","Deloach","29","Occasional"
146,"Jamie","Rice","29","Occasional"
397,"Jimmy","Schrader","29","Occasional"
538,"Ted","Breaux","29","Occasional"
592,"Terrance","Roush","29","Occasional"
386,"Todd","Tan","29","Occasional"
173,"Audrey","Ray","29","Occasional"
253,"Terry","Carlson","29","Occasional"
337,"Jerry","Jordon","29","Occasional"
32,"Amy","Lopez","29","Occasional"
25,"Deborah","Walker","29","Occasional"
163,"Cathy","Spencer","29","Occasional"
448,"Miguel","Betancourt","29","Occasional"
529,"Erik","Guillen","29","Occasional"
481,"Herman","Devore","29","Occasional"
588,"Marion","Ocampo","29","Occasional"
316,"Steven","Curley","29","Occasional"
6,"Jennifer","Davis","28","Occasional"
187,"Brittany","Riley","28","Occasional"
57,"Evelyn","Morgan","28","Occasional"
266,"Nora","Herrera","28","Occasional"
400,"Bryan","Hardison","28","Occasional"
596,"Enrique","Forsythe","28","Occasional"
166,"Lynn","Payne","28","Occasional"
145,"Lucille","Holmes","28","Occasional"
559,"Everett","Banda","28","Occasional"
276,"Brandy","Graves","28","Occasional"
589,"Tracy","Herrmann","28","Occasional"
457,"Bill","Gavin","28","Occasional"
90,"Ruby","Washington","28","Occasional"
558,"Jimmie","Eggleston","28","Occasional"
290,"Kristina","Chambers","28","Occasional"
284,"Sonia","Gregory","28","Occasional"
317,"Edward","Baugh","28","Occasional"
126,"Ellen","Simpson","28","Occasional"
374,"Jeremy","Hurtado","28","Occasional"
12,"Nancy","Thomas","28","Occasional"
332,"Stephen","Qualls","28","Occasional"
92,"Tina","Simmons","28","Occasional"
500,"Reginald","Kinder","28","Occasional"
461,"Derek","Blakely","28","Occasional"
283,"Felicia","Sutton","28","Occasional"
14,"Betty","White","28","Occasional"
497,"Gilbert","Sledge","28","Occasional"
441,"Mario","Cheatham","28","Occasional"
132,"Esther","Crawford","28","Occasional"
322,"Jason","Morrissey","28","Occasional"
262,"Patsy","Davidson","28","Occasional"
504,"Nathaniel","Adam","28","Occasional"
376,"Randy","Gaither","28","Occasional"
338,"Dennis","Gilman","28","Occasional"
77,"Jane","Bennett","28","Occasional"
515,"Andre","Rapp","28","Occasional"
574,"Julian","Vest","28","Occasional"
213,"Gina","Williamson","28","Occasional"
221,"Bessie","Morrison","28","Occasional"
16,"Sandra","Martin","28","Occasional"
49,"Joyce","Edwards","28","Occasional"
59,"Cheryl","Murphy","27","Occasional"
594,"Eduardo","Hiatt","27","Occasional"
40,"Amanda","Carter","27","Occasional"
407,"Dale","Ratcliff","27","Occasional"
331,"Eric","Robert","27","Occasional"
116,"Victoria","Gibson","27","Occasional"
58,"Jean","Bell","27","Occasional"
200,"Jeanne","Lawson","27","Occasional"
36,"Kathleen","Adams","27","Occasional"
96,"Diana","Alexander","27","Occasional"
426,"Bradley","Motley","27","Occasional"
220,"Charlene","Alvarez","27","Occasional"
282,"Jenny","Castro","27","Occasional"
491,"Rick","Mattox","27","Occasional"
228,"Allison","Stanley","27","Occasional"
190,"Yolanda","Weaver","27","Occasional"
292,"Misty","Lambert","27","Occasional"
434,"Eddie","Tomlin","27","Occasional"
